               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0237,              1.8296,              1.4234,             0.74873,              0.7493,             0.79062,             0.60712,                   0,                   0,                   0,            0.070141,           0.0033177,           0.0033177
                   1,              1.0317,              1.1591,              1.4038,             0.87369,              0.7513,             0.84635,             0.64452,                   0,                   0,                   0,            0.039921,           0.0064315,           0.0064315
                   2,              1.1342,              1.2728,              1.4894,             0.73387,             0.65977,             0.70999,             0.52081,                   0,                   0,                   0,           0.0094819,           0.0093254,           0.0093254
                   3,              1.2865,              1.4582,              1.5969,             0.68913,             0.67726,             0.69107,             0.50131,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,              1.3299,               1.493,              1.6232,             0.63439,             0.48589,             0.54117,             0.37294,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,              1.3311,              1.4884,               1.626,             0.80149,             0.62094,             0.71904,             0.51997,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,              1.2662,              1.3565,              1.5998,             0.65801,              0.6994,              0.7052,              0.5084,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,              1.3187,               1.394,              1.6394,             0.72898,             0.65908,              0.7332,             0.52034,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,              1.2565,              1.3166,              1.5983,             0.78987,             0.67996,             0.77221,             0.56169,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,              1.2456,              1.2437,              1.5691,               0.812,             0.66318,             0.74805,             0.54578,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,               1.228,              1.2436,              1.5646,             0.79929,             0.71464,             0.79344,             0.60671,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              1.2222,              1.2198,               1.561,             0.85192,             0.67395,             0.81136,             0.58823,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,              1.1926,              1.1553,              1.5371,             0.85833,             0.71593,             0.80509,             0.60173,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              1.1778,               1.132,              1.5356,             0.83444,             0.70884,              0.8111,             0.60838,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,              1.1489,              1.0985,              1.5201,             0.86691,             0.70465,             0.81835,             0.61629,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.98895,             0.92299,              1.4663,             0.84147,             0.71296,             0.81374,             0.61254,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              1.0032,             0.90881,              1.4635,             0.86437,             0.70925,             0.80709,             0.61419,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.97364,             0.85737,              1.4594,             0.79798,             0.71903,              0.7988,             0.61157,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.95242,             0.81571,              1.4445,             0.80961,             0.73666,             0.81865,             0.61734,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.93838,             0.79328,              1.4347,             0.87892,             0.71311,             0.81109,             0.61552,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.91336,             0.72408,              1.4126,             0.88989,             0.73908,             0.83972,             0.63629,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,             0.88583,             0.71485,              1.3832,               0.838,             0.75295,             0.83344,             0.63521,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.88755,             0.67065,              1.3728,             0.87899,             0.77043,             0.85074,             0.65773,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.83576,             0.63872,              1.3497,             0.87749,             0.78633,             0.85869,             0.66472,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.83393,             0.61826,              1.3432,             0.89042,             0.76088,             0.85986,             0.65675,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.79437,             0.57678,              1.3156,             0.89788,             0.77593,             0.84575,             0.66009,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              0.7912,             0.56885,               1.311,              0.8821,             0.79326,              0.8658,             0.67753,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.76543,             0.54762,              1.3035,             0.91985,             0.78717,             0.88492,              0.6889,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.74509,             0.51792,              1.2791,              0.9419,             0.78876,             0.88645,             0.69705,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.73121,             0.48722,              1.2588,             0.92221,             0.80649,             0.88031,             0.69556,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
